race_id,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金,備考1,備考2,備考3,備考4
202305010812,1,8,15,テイエムアトム,牡5,58,バシュロ,1:24.6,,**,4-5,36.7,3.3,2,540(-8),,,,[東]石栗龍彦,竹園正繼,"1,587.1"
202305010812,2,7,13,バルミュゼット,牡4,58,横山武史,1:24.9,2,**,13-13,35.9,5.7,4,518(-4),,,,[東]岩戸孝樹,ノルマンディーサラブレッドレーシング,630.6
202305010812,3,4,8,ローヴェロ,牡4,58,ルメール,1:25.1,1.1/4,**,2-2,37.6,2.4,1,504(+2),,,,[東]加藤征弘,Ｃ．チェン,395.3
202305010812,4,5,10,フィールザワールド,牡5,58,北村宏司,1:25.2,クビ,**,13-12,36.4,40.9,6,482(-6),,,,[東]岩戸孝樹,櫻井正,230.0
202305010812,5,2,4,ゲンパチプライド,牡4,58,福永祐一,1:25.2,クビ,**,7-6,37.0,4.7,3,494(-2),,,,[東]西田雄一,平野武志,155.0
202305010812,6,1,2,ウーゴ,牡6,58,太宰啓介,1:25.3,1/2,**,16-16,35.7,70.3,10,498(-14),,,,[西]高橋亮,ノースヒルズ,
202305010812,7,3,5,マイナーズライト,セ5,58,柴田善臣,1:25.4,1/2,**,10-9,36.9,169.6,12,464(-6),,,,[東]大江原哲,吉田照哉,
202305010812,8,5,9,ジュールサイクル,牝6,56,石川裕紀,1:25.6,3/4,**,15-15,36.3,224.4,14,462(0),,,,[東]田中剛,吉田照哉,
202305010812,9,6,12,プロバーティオ,牡5,58,柴田大知,1:25.7,1,**,3-3,37.9,49.2,7,502(+2),,,,[東]田中剛,ノースヒルズ,
202305010812,10,7,14,デルマカンノン,牝5,56,坂井瑠星,1:25.8,クビ,**,6-3,38.0,54.8,8,446(-2),,,,[西]五十嵐忠,浅沼廣幸,
202305010812,11,3,6,ブリエヴェール,牡5,58,永野猛蔵,1:26.0,1.1/4,**,7-6,37.8,267.3,15,464(+12),,,,[東]小笠倫弘,グリーンファーム,
202305010812,12,8,16,サンデーミラージュ,セ6,58,水口優也,1:26.7,4,**,12-11,38.1,56.1,9,482(-8),,,,[西]宮本博,エムズレーシング,
202305010812,13,4,7,コングールテソーロ,牡7,58,戸崎圭太,1:26.7,クビ,**,10-13,37.8,25.3,5,486(0),,,,[東]奥平雅士,了徳寺健二ホールディングス,
202305010812,14,1,1,スウィートプロミス,牝4,56,菅原明良,1:27.8,7,**,1-1,40.3,172.6,13,454(-4),,,,[東]尾関知人,グリーンファーム,
202305010812,15,2,3,セイウンシデン,牡4,58,大野拓弥,1:28.1,1.3/4,**,7-9,39.6,342.1,16,518(0),,,,[東]稲垣幸雄,西山茂行,
202305010812,16,6,11,アウリガテソーロ,牡5,58,杉原誠人,1:28.4,1.3/4,**,4-6,40.2,137.7,11,514(+8),,,,[東]加藤士津,了徳寺健二ホールディングス,
